Genome	Color	Family
LR756511	#D3D3D3	Unclassified
LR756508	#D3D3D3	Unclassified
LR756504	#D3D3D3	Unclassified
LR756503	#D3D3D3	Unclassified
LR756502	#D3D3D3	Unclassified
LR756501	#D3D3D3	Unclassified
LR756500	#D3D3D3	Unclassified
LR745208	#D3D3D3	Unclassified
LR745206	#D3D3D3	Unclassified
MK250029	#59520F	Myoviridae
MK250028	#59520F	Myoviridae
MK250027	#59520F	Myoviridae
MK250026	#59520F	Myoviridae
MK250025	#59520F	Myoviridae
MK250024	#59520F	Myoviridae
MK250023	#59520F	Myoviridae
MK250022	#59520F	Myoviridae
MK250021	#59520F	Myoviridae
MK250020	#59520F	Myoviridae
MK250019	#59520F	Myoviridae
MK250018	#59520F	Myoviridae
MK250017	#59520F	Myoviridae
MK250016	#59520F	Myoviridae
MK250015	#59520F	Myoviridae
LC648442	#D3D3D3	Unclassified
LC647030	#D3D3D3	Unclassified
MZ327262	#D3D3D3	Unclassified
MZ327261	#D3D3D3	Unclassified
MZ311865	#D3D3D3	Unclassified
MZ311863	#D3D3D3	Unclassified
MZ311864	#D3D3D3	Unclassified
MZ311862	#D3D3D3	Unclassified
MZ311861	#D3D3D3	Unclassified
MZ424865	#8B4FE0	Autographiviridae
MW119258	#3457A9	Siphoviridae
MT839621	#D3D3D3	Unclassified
MT838276	#D3D3D3	Unclassified
MT838268	#D3D3D3	Unclassified
MT838176	#D3D3D3	Unclassified
MT838166	#D3D3D3	Unclassified
MT838154	#D3D3D3	Unclassified
MT838134	#D3D3D3	Unclassified
MT838110	#D3D3D3	Unclassified
MT838090	#D3D3D3	Unclassified
MT838070	#D3D3D3	Unclassified
MT837929	#D3D3D3	Unclassified
MT837885	#D3D3D3	Unclassified
MT837870	#D3D3D3	Unclassified
MT837866	#D3D3D3	Unclassified
MT837855	#D3D3D3	Unclassified
MT837839	#D3D3D3	Unclassified
MT837828	#D3D3D3	Unclassified
MT837809	#D3D3D3	Unclassified
MT837767	#D3D3D3	Unclassified
MT837764	#D3D3D3	Unclassified
MT837751	#D3D3D3	Unclassified
MT837734	#D3D3D3	Unclassified
MT837732	#D3D3D3	Unclassified
MT837703	#D3D3D3	Unclassified
MT837674	#D3D3D3	Unclassified
MT837644	#D3D3D3	Unclassified
MT837568	#D3D3D3	Unclassified
MT837446	#D3D3D3	Unclassified
MT837442	#D3D3D3	Unclassified
MT837427	#D3D3D3	Unclassified
MT837411	#D3D3D3	Unclassified
MT837406	#D3D3D3	Unclassified
MT837385	#D3D3D3	Unclassified
MT837373	#D3D3D3	Unclassified
MT837355	#D3D3D3	Unclassified
MT837307	#D3D3D3	Unclassified
MT837305	#D3D3D3	Unclassified
MT837259	#D3D3D3	Unclassified
MT837226	#D3D3D3	Unclassified
MT837225	#D3D3D3	Unclassified
MT837161	#D3D3D3	Unclassified
MT837128	#D3D3D3	Unclassified
MT837126	#D3D3D3	Unclassified
MT837095	#D3D3D3	Unclassified
MT837090	#D3D3D3	Unclassified
MT837089	#D3D3D3	Unclassified
MT837080	#D3D3D3	Unclassified
MT837076	#D3D3D3	Unclassified
MT837066	#D3D3D3	Unclassified
MT837048	#D3D3D3	Unclassified
MT837042	#D3D3D3	Unclassified
MT837039	#D3D3D3	Unclassified
MT837030	#D3D3D3	Unclassified
MT837029	#D3D3D3	Unclassified
MT837022	#D3D3D3	Unclassified
MT837014	#D3D3D3	Unclassified
MT837010	#D3D3D3	Unclassified
MT837009	#D3D3D3	Unclassified
MT836966	#D3D3D3	Unclassified
MT836965	#D3D3D3	Unclassified
MT836950	#D3D3D3	Unclassified
MT836933	#D3D3D3	Unclassified
MT836879	#D3D3D3	Unclassified
MT836874	#D3D3D3	Unclassified
MT836873	#D3D3D3	Unclassified
MT836866	#D3D3D3	Unclassified
MT836862	#D3D3D3	Unclassified
MT836845	#D3D3D3	Unclassified
MT836842	#D3D3D3	Unclassified
MT836838	#D3D3D3	Unclassified
MT836833	#D3D3D3	Unclassified
MT836829	#D3D3D3	Unclassified
MT836828	#D3D3D3	Unclassified
MT836827	#D3D3D3	Unclassified
MT836822	#D3D3D3	Unclassified
MT836819	#D3D3D3	Unclassified
MT836817	#D3D3D3	Unclassified
MT836793	#D3D3D3	Unclassified
MT836752	#D3D3D3	Unclassified
MT836749	#D3D3D3	Unclassified
